Identificacao;Localizacao;IA_CC3F;ANG_IA_CC3F;IB_CC2F;ANG_IB_CC2F;IA_CCFT;ANG_IA_CCFT;X3I0_CCFT;ANG_3I0_CCFT;Zan_CCFT;ANG_Zan_CCFT;X3I0_FT_CloseIn;ANG_3I0_FT_CloseIn;IA_FFF_CloseIn;ANG_IA_FFF_CloseIn
04F3-5245-6131-3L;5241 NATAL2-RN230;4407.0;-84.3;3817.0;-174.3;3968.0;-84.0;2076.0;-81.1;5.84;-99.75;11904.0;-84.0;4407.0;-84.3
04F3-6131-5245-3L;5245 NATAL3-RN230;-5244.0;-84.8;-4542.0;-174.8;-5141.0;-85.3;-3360.0;-85.5;5.5;84.85;-15423.0;-85.3;-5244.0;-84.8
04F4-5245-6131-4L;5241 NATAL2-RN230;4407.0;-84.3;3817.0;-174.3;3871.0;-83.1;1806.0;-74.9;6.2;-101.62;11613.0;-83.1;4407.0;-84.3
04F4-6131-5245-4L;5245 NATAL3-RN230;-5244.0;-84.8;-4542.0;-174.8;-4978.0;-84.0;-2883.0;-78.9;5.93;82.3;-14934.0;-84.0;-5244.0;-84.8
04M1-6131-5202-1L;5245 NATAL3-RN230;1072.0;-82.4;929.0;-172.4;1011.0;-85.5;579.0;-97.1;26.73;-89.17;3033.0;-85.5;1072.0;-82.4
04N1-5241-5254-1L;5241 NATAL2-RN230;1598.0;-80.0;1384.0;-170.0;1310.0;-79.5;366.0;-71.3;0.0;-100.84;-39714.0;-84.3;-11444.0;-84.1
04N1-5254-5241-1L;5241 NATAL2-RN230;-1598.0;-80.0;-1384.0;-170.0;-1310.0;-79.5;-366.0;-71.3;56.24;78.63;-3930.0;-79.5;-1598.0;-80.0
04N2-5241-5254-2L;5241 NATAL2-RN230;1600.0;-80.0;1386.0;-170.0;1322.0;-79.4;399.0;-71.5;0.0;-100.75;3966.0;-79.4;1600.0;-80.0
04N2-5254-5241-2L;5241 NATAL2-RN230;-1600.0;-80.0;-1386.0;-170.0;-1315.0;-79.4;-381.0;-70.6;55.93;78.55;-3945.0;-79.4;-1600.0;-80.0
04N3-5241-5245-3L;5241 NATAL2-RN230;4924.0;-84.7;4265.0;-174.7;4961.0;-83.9;3903.0;-80.9;0.0;-94.19;14883.0;-83.9;4924.0;-84.7
04N3-5245-5241-3L;5241 NATAL2-RN230;-4924.0;-84.7;-4265.0;-174.7;-4954.0;-83.9;-3885.0;-80.9;4.11;81.87;-14862.0;-83.9;-4924.0;-84.7
04N4-5241-5245-4L;5241 NATAL2-RN230;4924.0;-84.7;4265.0;-174.7;4937.0;-84.0;3834.0;-81.1;0.0;-94.22;14811.0;-84.0;4924.0;-84.7
04N4-5245-5241-4L;5241 NATAL2-RN230;-4924.0;-84.7;-4265.0;-174.7;-4937.0;-84.0;-3834.0;-81.1;4.11;81.87;-14811.0;-84.0;-4924.0;-84.7
04P1-6131-6146-1L;5245 NATAL3-RN230;630.0;-85.3;546.0;-175.3;664.0;-84.1;546.0;-79.6;37.84;-97.3;1992.0;-84.1;630.0;-85.3
04V1-5254-5222-1L;5241 NATAL2-RN230;478.0;-79.1;414.0;-169.1;371.0;-78.4;51.0;-56.8;210.03;-103.68;1113.0;-78.4;478.0;-79.1
04V2-5254-5222-2L;5241 NATAL2-RN230;478.0;-79.1;414.0;-169.1;371.0;-78.5;51.0;-58.4;210.67;-103.41;1113.0;-78.5;478.0;-79.1
04Z1-6131-6132-1L;5245 NATAL3-RN230;4780.0;-85.5;4140.0;-175.5;4036.0;-84.6;1140.0;-71.9;7.21;-96.83;12108.0;-84.6;4780.0;-85.5
04Z2-6131-6132-2L;5245 NATAL3-RN230;2933.0;-85.3;2540.0;-175.3;2476.0;-84.4;699.0;-71.6;11.75;-96.96;7428.0;-84.4;2933.0;-85.3
1L(-5246-5257-1L;5245 NATAL3-RN230;158.0;-119.6;79.0;-179.6;105.0;-90.0;0.0;0.0;219.51;-149.06;315.0;-90.0;158.0;-119.6
1L(-5246-5258-1L;5245 NATAL3-RN230;3031.0;-119.6;1516.0;-179.6;2013.0;-90.0;0.0;0.0;11.42;-149.06;6039.0;-90.0;3031.0;-119.6
1L(-5246-7684-1L;5245 NATAL3-RN230;732.0;-115.7;366.0;-175.7;486.0;-86.2;0.0;0.0;47.26;-152.9;1458.0;-86.2;732.0;-115.7
2L(-5246-5257-2L;5245 NATAL3-RN230;158.0;-119.6;79.0;-179.6;105.0;-90.0;0.0;0.0;219.51;-149.06;315.0;-90.0;158.0;-119.6
2L(-6131-5202-2L;5245 NATAL3-RN230;1075.0;-82.3;931.0;-172.3;891.0;-82.0;201.0;-73.1;36.71;-99.56;2673.0;-82.0;1075.0;-82.3
UIV.-5254-5222-3L;5241 NATAL2-RN230;2.0;-70.1;2.0;-160.1;2.0;-70.4;0.0;0.0;40056.13;-110.62;6.0;-70.4;2.0;-70.1
UIV.-5254-6132-1L;5241 NATAL2-RN230;-7.0;-73.7;-6.0;-163.7;-5.0;-74.4;0.0;0.0;67346.69;36.39;-15.0;-74.4;-7.0;-73.7
