Caso;Falta;Localizacao;Contingencia;Fase;TensaoModuloCurto;TensaoAnguloCurto;CorrenteModuloCurto;CorrenteAnguloCurto;BarraOrigem;TensaoModuloOrigem;TensaoAnguloOrigem;BarraDestino;TensaoModuloDestino;TensaoAnguloDestino;Circuito;CorrenteModuloCircuito;CorrenteAnguloCircuito;Identificacao;Impedancia_Ponto;Impedancia_Mod;Impedancia_Ang
1;FT;5241 NATAL2-RN230;Caso-Base;A;0.0;0.0;14543.0;-83.9;5241 NATAL2-RN230;0.0;0.0;5254 PARAIS-RN230;0.646;-0.8;1L(04N1;1310.0;-79.5;04N1-5241-5254-1L;AB;70.98;-33.49
1;FT;5241 NATAL2-RN230;Caso-Base;B;0.953;-113.8;0.0;0.0;5241 NATAL2-RN230;0.953;-113.8;5254 PARAIS-RN230;0.954;-115.0;1L(04N1;-474.0;-82.6;04N1-5241-5254-1L;AN;0.0;-100.84
1;FT;5241 NATAL2-RN230;Caso-Base;C;0.942;114.1;0.0;0.0;5241 NATAL2-RN230;0.942;114.1;5254 PARAIS-RN230;0.956;114.9;1L(04N1;-474.0;-82.6;04N1-5241-5254-1L;BC;9999.99;0.0
1;FT;5241 NATAL2-RN230;Caso-Base;P;0.628;0.2;4848.0;-83.9;5241 NATAL2-RN230;0.628;0.2;5254 PARAIS-RN230;0.85;-0.2;1L(04N1;594.0;-80.3;04N1-5241-5254-1L;BN;490.4;-28.46
1;FT;5241 NATAL2-RN230;Caso-Base;N;0.372;179.7;4848.0;-83.9;5241 NATAL2-RN230;0.372;179.7;5254 PARAIS-RN230;0.15;-178.7;1L(04N1;594.0;-80.3;04N1-5241-5254-1L;CA;70.18;-165.59
1;FT;5241 NATAL2-RN230;Caso-Base;Z;0.256;-179.1;4848.0;-83.9;5241 NATAL2-RN230;0.256;-179.1;5254 PARAIS-RN230;0.053;-177.4;1L(04N1;122.0;-71.3;04N1-5241-5254-1L;CN;484.87;-160.56
1;FT;5241 NATAL2-RN230;Caso-Base;A;0.0;0.0;14543.0;-83.9;5241 NATAL2-RN230;0.0;0.0;5276 NTDT1--RN000;0.276;0.9;1T(04T1;499.0;-89.1;04T1-5241-5276-1T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;B;0.953;-113.8;0.0;0.0;5241 NATAL2-RN230;0.953;-113.8;5276 NTDT1--RN000;0.874;-97.1;1T(04T1;499.0;-89.1;04T1-5241-5276-1T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;C;0.942;114.1;0.0;0.0;5241 NATAL2-RN230;0.942;114.1;5276 NTDT1--RN000;0.871;97.2;1T(04T1;499.0;-89.1;04T1-5241-5276-1T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;P;0.628;0.2;4848.0;-83.9;5241 NATAL2-RN230;0.628;0.2;5276 NTDT1--RN000;0.628;0.2;1T(04T1;0.0;0.0;04T1-5241-5276-1T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;N;0.372;179.7;4848.0;-83.9;5241 NATAL2-RN230;0.372;179.7;5276 NTDT1--RN000;0.372;179.7;1T(04T1;0.0;0.0;04T1-5241-5276-1T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;Z;0.256;-179.1;4848.0;-83.9;5241 NATAL2-RN230;0.256;-179.1;5276 NTDT1--RN000;0.02;0.9;1T(04T1;499.0;-89.1;04T1-5241-5276-1T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;A;0.0;0.0;14543.0;-83.9;5241 NATAL2-RN230;0.0;0.0;5254 PARAIS-RN230;0.646;-0.8;2L(04N2;1322.0;-79.4;04N2-5241-5254-2L;AB;70.91;-33.51
1;FT;5241 NATAL2-RN230;Caso-Base;B;0.953;-113.8;0.0;0.0;5241 NATAL2-RN230;0.953;-113.8;5254 PARAIS-RN230;0.954;-115.0;2L(04N2;-464.0;-82.8;04N2-5241-5254-2L;AN;0.0;-100.75
1;FT;5241 NATAL2-RN230;Caso-Base;C;0.942;114.1;0.0;0.0;5241 NATAL2-RN230;0.942;114.1;5254 PARAIS-RN230;0.956;114.9;2L(04N2;-464.0;-82.8;04N2-5241-5254-2L;BC;9999.99;0.0
1;FT;5241 NATAL2-RN230;Caso-Base;P;0.628;0.2;4848.0;-83.9;5241 NATAL2-RN230;0.628;0.2;5254 PARAIS-RN230;0.85;-0.2;2L(04N2;595.0;-80.3;04N2-5241-5254-2L;BN;540.02;-28.53
1;FT;5241 NATAL2-RN230;Caso-Base;N;0.372;179.7;4848.0;-83.9;5241 NATAL2-RN230;0.372;179.7;5254 PARAIS-RN230;0.15;-178.7;2L(04N2;595.0;-80.3;04N2-5241-5254-2L;CA;70.11;-165.61
1;FT;5241 NATAL2-RN230;Caso-Base;Z;0.256;-179.1;4848.0;-83.9;5241 NATAL2-RN230;0.256;-179.1;5254 PARAIS-RN230;0.053;-177.4;2L(04N2;133.0;-71.5;04N2-5241-5254-2L;CN;533.93;-160.63
1;FT;5241 NATAL2-RN230;Caso-Base;A;0.0;0.0;14543.0;-83.9;5241 NATAL2-RN230;0.0;0.0;0 REATOR_LINHA;0.0;0.0;10R(;6.0;-89.1;10R(-5241-0-10;;;
1;FT;5241 NATAL2-RN230;Caso-Base;B;0.953;-113.8;0.0;0.0;5241 NATAL2-RN230;0.953;-113.8;0 REATOR_LINHA;0.0;0.0;10R(;6.0;-89.1;10R(-5241-0-10;;;
